#nanoseconds	topic	value
0	GLD/Binv_house14_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house14_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house14_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house14_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house14_l107_tm_rated_battery_power	+1046.86 W
0	GLD/Binv_house14_l107_tm_rated_power	+1046.86 VA
0	GLD/Binv_house13_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house13_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house13_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house13_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house13_l107_tm_rated_battery_power	+1037.5 W
0	GLD/Binv_house13_l107_tm_rated_power	+1037.5 VA
0	GLD/Binv_house12_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house12_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house12_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house12_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house12_l107_tm_rated_battery_power	+1003.64 W
0	GLD/Binv_house12_l107_tm_rated_power	+1003.64 VA
0	GLD/Binv_house11_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house11_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house11_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house11_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house11_l107_tm_rated_battery_power	+1047.13 W
0	GLD/Binv_house11_l107_tm_rated_power	+1047.13 VA
0	GLD/Binv_house10_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house10_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house10_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house10_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house10_l107_tm_rated_battery_power	+1047.35 W
0	GLD/Binv_house10_l107_tm_rated_power	+1047.35 VA
0	GLD/Binv_house7_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house7_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house7_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house7_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house7_l107_tm_rated_battery_power	+1034.32 W
0	GLD/Binv_house7_l107_tm_rated_power	+1034.32 VA
0	GLD/Binv_house6_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house6_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house6_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house6_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house6_l107_tm_rated_battery_power	+1053.34 W
0	GLD/Binv_house6_l107_tm_rated_power	+1053.34 VA
0	GLD/Binv_house4_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house4_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house4_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house4_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house4_l107_tm_rated_battery_power	+1059.76 W
0	GLD/Binv_house4_l107_tm_rated_power	+1059.76 VA
0	GLD/Binv_house3_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house3_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house3_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house3_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house3_l107_tm_rated_battery_power	+1054.59 W
0	GLD/Binv_house3_l107_tm_rated_power	+1054.59 VA
0	GLD/Binv_house2_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house2_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house2_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house2_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house2_l107_tm_rated_battery_power	+1034.39 W
0	GLD/Binv_house2_l107_tm_rated_power	+1034.39 VA
0	GLD/Binv_house1_l107_tm_battery_soc	-1 pu
0	GLD/Binv_house1_l107_tm_max_discharge_rate	+0 W
0	GLD/Binv_house1_l107_tm_max_charge_rate	+0 W
0	GLD/Binv_house1_l107_tm_inverter_efficiency	+1
0	GLD/Binv_house1_l107_tm_rated_battery_power	+1019.92 W
0	GLD/Binv_house1_l107_tm_rated_power	+1019.92 VA
0	GLD/Binv_house14_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house14_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house14_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house14_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house14_l106_tm_rated_battery_power	+1037.42 W
0	GLD/Binv_house14_l106_tm_rated_power	+1037.42 VA
0	GLD/Binv_house13_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house13_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house13_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house13_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house13_l106_tm_rated_battery_power	+997.129 W
0	GLD/Binv_house13_l106_tm_rated_power	+997.129 VA
0	GLD/Binv_house12_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house12_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house12_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house12_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house12_l106_tm_rated_battery_power	+1065.72 W
0	GLD/Binv_house12_l106_tm_rated_power	+1065.72 VA
0	GLD/Binv_house11_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house11_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house11_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house11_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house11_l106_tm_rated_battery_power	+1060.43 W
0	GLD/Binv_house11_l106_tm_rated_power	+1060.43 VA
0	GLD/Binv_house9_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house9_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house9_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house9_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house9_l106_tm_rated_battery_power	+1047.92 W
0	GLD/Binv_house9_l106_tm_rated_power	+1047.92 VA
0	GLD/Binv_house8_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house8_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house8_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house8_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house8_l106_tm_rated_battery_power	+1109.43 W
0	GLD/Binv_house8_l106_tm_rated_power	+1109.43 VA
0	GLD/Binv_house7_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house7_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house7_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house7_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house7_l106_tm_rated_battery_power	+1028.02 W
0	GLD/Binv_house7_l106_tm_rated_power	+1028.02 VA
0	GLD/Binv_house6_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house6_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house6_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house6_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house6_l106_tm_rated_battery_power	+1035.19 W
0	GLD/Binv_house6_l106_tm_rated_power	+1035.19 VA
0	GLD/Binv_house5_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house5_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house5_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house5_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house5_l106_tm_rated_battery_power	+1034.47 W
0	GLD/Binv_house5_l106_tm_rated_power	+1034.47 VA
0	GLD/Binv_house4_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house4_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house4_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house4_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house4_l106_tm_rated_battery_power	+1034.93 W
0	GLD/Binv_house4_l106_tm_rated_power	+1034.93 VA
0	GLD/Binv_house1_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house1_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house1_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house1_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house1_l106_tm_rated_battery_power	+1053.56 W
0	GLD/Binv_house1_l106_tm_rated_power	+1053.56 VA
0	GLD/Binv_house0_l106_tm_battery_soc	-1 pu
0	GLD/Binv_house0_l106_tm_max_discharge_rate	+0 W
0	GLD/Binv_house0_l106_tm_max_charge_rate	+0 W
0	GLD/Binv_house0_l106_tm_inverter_efficiency	+1
0	GLD/Binv_house0_l106_tm_rated_battery_power	+1030.41 W
0	GLD/Binv_house0_l106_tm_rated_power	+1030.41 VA
0	GLD/batt_Binv_house14_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house14_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house14_l107_tm_battery_capacity	+32.2367 Wh
0	GLD/batt_Binv_house14_l107_tm_rated_power	+1046.86 W
0	GLD/batt_Binv_house13_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house13_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house13_l107_tm_battery_capacity	+23.9984 Wh
0	GLD/batt_Binv_house13_l107_tm_rated_power	+1037.5 W
0	GLD/batt_Binv_house12_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house12_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house12_l107_tm_battery_capacity	+31.3594 Wh
0	GLD/batt_Binv_house12_l107_tm_rated_power	+1003.64 W
0	GLD/batt_Binv_house11_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house11_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house11_l107_tm_battery_capacity	+32.5718 Wh
0	GLD/batt_Binv_house11_l107_tm_rated_power	+1047.13 W
0	GLD/batt_Binv_house10_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house10_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house10_l107_tm_battery_capacity	+26.1399 Wh
0	GLD/batt_Binv_house10_l107_tm_rated_power	+1047.35 W
0	GLD/batt_Binv_house7_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house7_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house7_l107_tm_battery_capacity	+35.5077 Wh
0	GLD/batt_Binv_house7_l107_tm_rated_power	+1034.32 W
0	GLD/batt_Binv_house6_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house6_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house6_l107_tm_battery_capacity	+27.0925 Wh
0	GLD/batt_Binv_house6_l107_tm_rated_power	+1053.34 W
0	GLD/batt_Binv_house4_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house4_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house4_l107_tm_battery_capacity	+32.137 Wh
0	GLD/batt_Binv_house4_l107_tm_rated_power	+1059.76 W
0	GLD/batt_Binv_house3_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house3_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house3_l107_tm_battery_capacity	+26.5785 Wh
0	GLD/batt_Binv_house3_l107_tm_rated_power	+1054.59 W
0	GLD/batt_Binv_house2_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house2_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house2_l107_tm_battery_capacity	+28.803 Wh
0	GLD/batt_Binv_house2_l107_tm_rated_power	+1034.39 W
0	GLD/batt_Binv_house1_l107_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house1_l107_tm_battery_state	WAITING
0	GLD/batt_Binv_house1_l107_tm_battery_capacity	+26.8172 Wh
0	GLD/batt_Binv_house1_l107_tm_rated_power	+1019.92 W
0	GLD/batt_Binv_house14_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house14_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house14_l106_tm_battery_capacity	+24.055 Wh
0	GLD/batt_Binv_house14_l106_tm_rated_power	+1037.42 W
0	GLD/batt_Binv_house13_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house13_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house13_l106_tm_battery_capacity	+27.3933 Wh
0	GLD/batt_Binv_house13_l106_tm_rated_power	+997.129 W
0	GLD/batt_Binv_house12_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house12_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house12_l106_tm_battery_capacity	+26.6257 Wh
0	GLD/batt_Binv_house12_l106_tm_rated_power	+1065.72 W
0	GLD/batt_Binv_house11_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house11_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house11_l106_tm_battery_capacity	+26.1247 Wh
0	GLD/batt_Binv_house11_l106_tm_rated_power	+1060.43 W
0	GLD/batt_Binv_house9_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house9_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house9_l106_tm_battery_capacity	+33.384 Wh
0	GLD/batt_Binv_house9_l106_tm_rated_power	+1047.92 W
0	GLD/batt_Binv_house8_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house8_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house8_l106_tm_battery_capacity	+28.6218 Wh
0	GLD/batt_Binv_house8_l106_tm_rated_power	+1109.43 W
0	GLD/batt_Binv_house7_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house7_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house7_l106_tm_battery_capacity	+29.3541 Wh
0	GLD/batt_Binv_house7_l106_tm_rated_power	+1028.02 W
0	GLD/batt_Binv_house6_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house6_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house6_l106_tm_battery_capacity	+32.8395 Wh
0	GLD/batt_Binv_house6_l106_tm_rated_power	+1035.19 W
0	GLD/batt_Binv_house5_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house5_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house5_l106_tm_battery_capacity	+21.4588 Wh
0	GLD/batt_Binv_house5_l106_tm_rated_power	+1034.47 W
0	GLD/batt_Binv_house4_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house4_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house4_l106_tm_battery_capacity	+28.3018 Wh
0	GLD/batt_Binv_house4_l106_tm_rated_power	+1034.93 W
0	GLD/batt_Binv_house1_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house1_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house1_l106_tm_battery_capacity	+27.5381 Wh
0	GLD/batt_Binv_house1_l106_tm_rated_power	+1053.56 W
0	GLD/batt_Binv_house0_l106_tm_state_of_charge	+0.5 pu
0	GLD/batt_Binv_house0_l106_tm_battery_state	WAITING
0	GLD/batt_Binv_house0_l106_tm_battery_capacity	+25.3457 Wh
0	GLD/batt_Binv_house0_l106_tm_rated_power	+1030.41 W
0	GLD/house5_wh_l107_tm_is_waterheater_on	+0
0	GLD/house5_wh_l107_tm_height	+3.78 ft
0	GLD/house5_wh_l107_tm_temperature	+133 degF
0	GLD/house5_wh_l107_tm_thermostat_deadband	+7.5 degF
0	GLD/house5_wh_l107_tm_heating_element_capacity	+3.5 kW
0	GLD/house5_wh_l107_tm_tank_height	+3.78 ft
0	GLD/house5_wh_l107_tm_tank_volume	+30 gal
0	GLD/house5_wh_l107_tm_heat_mode	ELECTRIC
0	GLD/house4_wh_l107_tm_is_waterheater_on	+0
0	GLD/house4_wh_l107_tm_height	+3.78 ft
0	GLD/house4_wh_l107_tm_temperature	+139.8 degF
0	GLD/house4_wh_l107_tm_thermostat_deadband	+7.5 degF
0	GLD/house4_wh_l107_tm_heating_element_capacity	+5.5 kW
0	GLD/house4_wh_l107_tm_tank_height	+3.78 ft
0	GLD/house4_wh_l107_tm_tank_volume	+40 gal
0	GLD/house4_wh_l107_tm_heat_mode	ELECTRIC
0	GLD/house1_wh_l107_tm_is_waterheater_on	+0
0	GLD/house1_wh_l107_tm_height	+3.78 ft
0	GLD/house1_wh_l107_tm_temperature	+130.6 degF
0	GLD/house1_wh_l107_tm_thermostat_deadband	+6.1 degF
0	GLD/house1_wh_l107_tm_heating_element_capacity	+4.5 kW
0	GLD/house1_wh_l107_tm_tank_height	+3.78 ft
0	GLD/house1_wh_l107_tm_tank_volume	+50 gal
0	GLD/house1_wh_l107_tm_heat_mode	ELECTRIC
0	GLD/house11_wh_l106_tm_is_waterheater_on	+0
0	GLD/house11_wh_l106_tm_height	+3.78 ft
0	GLD/house11_wh_l106_tm_temperature	+137.6 degF
0	GLD/house11_wh_l106_tm_thermostat_deadband	+6.2 degF
0	GLD/house11_wh_l106_tm_heating_element_capacity	+4 kW
0	GLD/house11_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house11_wh_l106_tm_tank_volume	+20 gal
0	GLD/house11_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house10_wh_l106_tm_is_waterheater_on	+0
0	GLD/house10_wh_l106_tm_height	+3.78 ft
0	GLD/house10_wh_l106_tm_temperature	+140.8 degF
0	GLD/house10_wh_l106_tm_thermostat_deadband	+6.6 degF
0	GLD/house10_wh_l106_tm_heating_element_capacity	+5 kW
0	GLD/house10_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house10_wh_l106_tm_tank_volume	+20 gal
0	GLD/house10_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house9_wh_l106_tm_is_waterheater_on	+0
0	GLD/house9_wh_l106_tm_height	+3.78 ft
0	GLD/house9_wh_l106_tm_temperature	+136 degF
0	GLD/house9_wh_l106_tm_thermostat_deadband	+7 degF
0	GLD/house9_wh_l106_tm_heating_element_capacity	+5.5 kW
0	GLD/house9_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house9_wh_l106_tm_tank_volume	+70 gal
0	GLD/house9_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house8_wh_l106_tm_is_waterheater_on	+0
0	GLD/house8_wh_l106_tm_height	+3.78 ft
0	GLD/house8_wh_l106_tm_temperature	+131.7 degF
0	GLD/house8_wh_l106_tm_thermostat_deadband	+6.5 degF
0	GLD/house8_wh_l106_tm_heating_element_capacity	+4.5 kW
0	GLD/house8_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house8_wh_l106_tm_tank_volume	+40 gal
0	GLD/house8_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house7_wh_l106_tm_is_waterheater_on	+0
0	GLD/house7_wh_l106_tm_height	+3.78 ft
0	GLD/house7_wh_l106_tm_temperature	+140.2 degF
0	GLD/house7_wh_l106_tm_thermostat_deadband	+5.5 degF
0	GLD/house7_wh_l106_tm_heating_element_capacity	+4 kW
0	GLD/house7_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house7_wh_l106_tm_tank_volume	+30 gal
0	GLD/house7_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house6_wh_l106_tm_is_waterheater_on	+0
0	GLD/house6_wh_l106_tm_height	+3.78 ft
0	GLD/house6_wh_l106_tm_temperature	+132.6 degF
0	GLD/house6_wh_l106_tm_thermostat_deadband	+5.3 degF
0	GLD/house6_wh_l106_tm_heating_element_capacity	+5.5 kW
0	GLD/house6_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house6_wh_l106_tm_tank_volume	+25 gal
0	GLD/house6_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house5_wh_l106_tm_is_waterheater_on	+0
0	GLD/house5_wh_l106_tm_height	+3.78 ft
0	GLD/house5_wh_l106_tm_temperature	+131.5 degF
0	GLD/house5_wh_l106_tm_thermostat_deadband	+6.4 degF
0	GLD/house5_wh_l106_tm_heating_element_capacity	+3.5 kW
0	GLD/house5_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house5_wh_l106_tm_tank_volume	+30 gal
0	GLD/house5_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house4_wh_l106_tm_is_waterheater_on	+0
0	GLD/house4_wh_l106_tm_height	+3.78 ft
0	GLD/house4_wh_l106_tm_temperature	+136.4 degF
0	GLD/house4_wh_l106_tm_thermostat_deadband	+5.2 degF
0	GLD/house4_wh_l106_tm_heating_element_capacity	+5.5 kW
0	GLD/house4_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house4_wh_l106_tm_tank_volume	+30 gal
0	GLD/house4_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house3_wh_l106_tm_is_waterheater_on	+0
0	GLD/house3_wh_l106_tm_height	+3.78 ft
0	GLD/house3_wh_l106_tm_temperature	+140.6 degF
0	GLD/house3_wh_l106_tm_thermostat_deadband	+7 degF
0	GLD/house3_wh_l106_tm_heating_element_capacity	+4.5 kW
0	GLD/house3_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house3_wh_l106_tm_tank_volume	+50 gal
0	GLD/house3_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house1_wh_l106_tm_is_waterheater_on	+0
0	GLD/house1_wh_l106_tm_height	+3.78 ft
0	GLD/house1_wh_l106_tm_temperature	+133.4 degF
0	GLD/house1_wh_l106_tm_thermostat_deadband	+5.7 degF
0	GLD/house1_wh_l106_tm_heating_element_capacity	+5.5 kW
0	GLD/house1_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house1_wh_l106_tm_tank_volume	+25 gal
0	GLD/house1_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/house0_wh_l106_tm_is_waterheater_on	+0
0	GLD/house0_wh_l106_tm_height	+3.78 ft
0	GLD/house0_wh_l106_tm_temperature	+141.9 degF
0	GLD/house0_wh_l106_tm_thermostat_deadband	+5.1 degF
0	GLD/house0_wh_l106_tm_heating_element_capacity	+5.5 kW
0	GLD/house0_wh_l106_tm_tank_height	+3.78 ft
0	GLD/house0_wh_l106_tm_tank_volume	+30 gal
0	GLD/house0_wh_l106_tm_heat_mode	ELECTRIC
0	GLD/PVinv_house12_l107_tm_inverter_efficiency	+1
0	GLD/PVinv_house4_l107_tm_inverter_efficiency	+1
0	GLD/PVinv_house8_l106_tm_inverter_efficiency	+1
0	GLD/solar_PVinv_house12_l107_tm_VA_Out	+0+0i VA
0	GLD/solar_PVinv_house12_l107_tm_orientation_azimuth	+180 deg
0	GLD/solar_PVinv_house12_l107_tm_tilt_angle	+45 deg
0	GLD/solar_PVinv_house12_l107_tm_longitude	+nan deg
0	GLD/solar_PVinv_house12_l107_tm_latitude	+nan deg
0	GLD/solar_PVinv_house12_l107_tm_rated_power	+4537.36 W
0	GLD/solar_PVinv_house4_l107_tm_VA_Out	+0+0i VA
0	GLD/solar_PVinv_house4_l107_tm_orientation_azimuth	+180 deg
0	GLD/solar_PVinv_house4_l107_tm_tilt_angle	+45 deg
0	GLD/solar_PVinv_house4_l107_tm_longitude	+nan deg
0	GLD/solar_PVinv_house4_l107_tm_latitude	+nan deg
0	GLD/solar_PVinv_house4_l107_tm_rated_power	+4442.24 W
0	GLD/solar_PVinv_house8_l106_tm_VA_Out	+0+0i VA
0	GLD/solar_PVinv_house8_l106_tm_orientation_azimuth	+180 deg
0	GLD/solar_PVinv_house8_l106_tm_tilt_angle	+45 deg
0	GLD/solar_PVinv_house8_l106_tm_longitude	+nan deg
0	GLD/solar_PVinv_house8_l106_tm_latitude	+nan deg
0	GLD/solar_PVinv_house8_l106_tm_rated_power	+4368.64 W
0	GLD/meter_n150_measured_real_power	+0 W
0	GLD/house13_l107_tm_thermostat_mode	AUTO
0	GLD/house13_l107_tm_mass_temperature	+70.87 degF
0	GLD/house13_l107_tm_air_temperature	+70.87 degF
0	GLD/house13_l107_tm_outdoor_temperature	+74 degF
0	GLD/house13_l107_tm_Qh	+0
0	GLD/house13_l107_tm_Qm	+0
0	GLD/house13_l107_tm_Qa	+0
0	GLD/house13_l107_tm_Qi	+0
0	GLD/house13_l107_tm_hvac_load	+0 kW
0	GLD/house13_l107_tm_cooling_demand	+2.28377 kW
0	GLD/house13_l107_tm_solar_heatgain_factor	+26.2664
0	GLD/house13_l107_tm_incident_solar_radiation	+0 Btu/h*sf
0	GLD/house13_l107_tm_thermostat_deadband	+2 degF
0	GLD/house13_l107_tm_mass_solar_gain_fraction	+0.5 pu
0	GLD/house13_l107_tm_mass_internal_gain_fraction	+0.5 pu
0	GLD/house13_l107_tm_auxiliary_heat_capacity	+20000 Btu/h
0	GLD/house13_l107_tm_design_cooling_capacity	+24000 Btu/h
0	GLD/house13_l107_tm_design_heating_capacity	+20000 Btu/h
0	GLD/house13_l107_tm_mass_heat_capacity	+7237.05 Btu/degF
0	GLD/house13_l107_tm_air_heat_capacity	+1001.02 Btu/degF
0	GLD/house13_l107_tm_auxiliary_system_type	0
0	GLD/house13_l107_tm_cooling_system_type	HEAT_PUMP
0	GLD/house13_l107_tm_heating_system_type	GAS
0	GLD/house13_l107_tm_UA	+309.273 Btu/degF*h
0	GLD/house13_l107_tm_mass_heat_coeff	+8851.97 Btu/degF*h
0	GLD/house12_l107_tm_thermostat_mode	AUTO
0	GLD/house12_l107_tm_mass_temperature	+71.32 degF
0	GLD/house12_l107_tm_air_temperature	+71.32 degF
0	GLD/house12_l107_tm_outdoor_temperature	+74 degF
0	GLD/house12_l107_tm_Qh	+0
0	GLD/house12_l107_tm_Qm	+0
0	GLD/house12_l107_tm_Qa	+0
0	GLD/house12_l107_tm_Qi	+0
0	GLD/house12_l107_tm_hvac_load	+0 kW
0	GLD/house12_l107_tm_cooling_demand	+2.05672 kW
0	GLD/house12_l107_tm_solar_heatgain_factor	+24.7144
0	GLD/house12_l107_tm_incident_solar_radiation	+0 Btu/h*sf
0	GLD/house12_l107_tm_thermostat_deadband	+2 degF
0	GLD/house12_l107_tm_mass_solar_gain_fraction	+0.5 pu
0	GLD/house12_l107_tm_mass_internal_gain_fraction	+0.5 pu
0	GLD/house12_l107_tm_auxiliary_heat_capacity	+20000 Btu/h
0	GLD/house12_l107_tm_design_cooling_capacity	+24000 Btu/h
0	GLD/house12_l107_tm_design_heating_capacity	+20000 Btu/h
0	GLD/house12_l107_tm_mass_heat_capacity	+6041.39 Btu/degF
0	GLD/house12_l107_tm_air_heat_capacity	+996.996 Btu/degF
0	GLD/house12_l107_tm_auxiliary_system_type	0
0	GLD/house12_l107_tm_cooling_system_type	HEAT_PUMP
0	GLD/house12_l107_tm_heating_system_type	GAS
0	GLD/house12_l107_tm_UA	+304.296 Btu/degF*h
0	GLD/house12_l107_tm_mass_heat_coeff	+8872.73 Btu/degF*h
0	GLD/house11_l107_tm_thermostat_mode	AUTO
0	GLD/house11_l107_tm_mass_temperature	+69.72 degF
0	GLD/house11_l107_tm_air_temperature	+69.72 degF
0	GLD/house11_l107_tm_outdoor_temperature	+74 degF
0	GLD/house11_l107_tm_Qh	+0
0	GLD/house11_l107_tm_Qm	+0
0	GLD/house11_l107_tm_Qa	+0
0	GLD/house11_l107_tm_Qi	+0
0	GLD/house11_l107_tm_hvac_load	+0 kW
0	GLD/house11_l107_tm_cooling_demand	+1.43747 kW
0	GLD/house11_l107_tm_solar_heatgain_factor	+23.0701
0	GLD/house11_l107_tm_incident_solar_radiation	+0 Btu/h*sf
0	GLD/house11_l107_tm_thermostat_deadband	+2 degF
0	GLD/house11_l107_tm_mass_solar_gain_fraction	+0.5 pu
