gen_num,active_power,reactive_power
24,4.0,-0.07458579489787896
4,0.76,-0.015759941949071838
1,0.16,0.04862113816950149
12,0.7857906980777294,0.32591537770580165
29,0.5,-0.06413298421372077
20,0.024,0.05999998119876356
32,1.55,0.025472462063120198
2,0.16,0.04862113816950149
6,0.16,0.048136686169275675
25,0.5,-0.06413298421372077
23,4.0,0.7289841726723387
22,1.55,0.799999975622825
11,0.7034276314613828,0.16438472281925698
13,0.7857906980777294,0.32591537770580165
5,0.16,0.048136686169275675
15,0.0,1.1490821931896564
27,0.5,-0.06413298421372077
31,1.55,0.025472462063120198
33,3.5,0.40548904672793146
28,0.5,-0.06413298421372077
16,0.024,0.05999998119876356
14,0.7857906980777294,0.32591537770580165
21,1.55,0.7999999858192359
7,0.76,-0.02923281497311566
8,0.76,-0.02923281497311566
26,0.5,-0.06413298421372075
17,0.024,0.05999998119876356
10,0.7034276314613828,0.16438472281925698
19,0.024,0.05999998119876356
9,0.7034276314613828,0.16438472281925698
18,0.024,0.05999998119876356
30,0.5,-0.06413298421372077
3,0.76,-0.015759941949071838
